date,total_stablecoin_supply,total_stablecoin_supply_change_7d,total_stablecoin_supply_change_30d,total_stablecoin_supply_change_90d,total_stablecoin_supply_pct_change_30d,total_stablecoin_supply_pct_change_90d,total_stablecoin_supply_zscore_252d,total_stablecoin_supply_slope_30d,total_stablecoin_supply_slope_90d,usdt_supply,usdc_supply,usdt_supply_change_30d,usdt_supply_change_90d,usdc_supply_change_30d,usdc_supply_change_90d,usdt_dominance,usdc_dominance,usdt_history_available,usdc_history_available,stablecoin_liquidity_score
2020-09-19,18487562250.0,1296662602.0,3280012613.0,7235627513.0,0.2156831765335634,0.643056299394176,2.2889950232981633,3280012613.0,7235627513.0,,,,,,,,,False,False,
2020-09-20,18782992925.0,1518868050.0,3458392395.0,7509208787.0,0.22567585942809565,0.6660770416642157,2.3323598590362926,3458392395.0,7509208787.0,,,,,,,,,False,False,
2020-09-21,18864410103.0,1270751966.0,3407526558.0,7542876593.0,0.22045366053768767,0.6662415993679287,2.320336648169175,3407526558.0,7542876593.0,,,,,,,,,False,False,
2020-09-22,18926829029.0,2192632616.0,3364145135.0,7648486592.0,0.21616741417571328,0.6781569751693468,2.3039028243703243,3364145135.0,7648486592.0,,,,,,,,,False,False,
2020-09-23,18952830992.0,1071958027.0,3328390110.0,7659100674.0,0.2130245898164871,0.678172796617331,2.278997284701458,3328390110.0,7659100674.0,,,,,,,,,False,False,
2020-09-24,19035609990.0,902019245.0,3380199696.0,7757325368.0,0.21591255882290583,0.6878107467573715,2.268676356790265,3380199696.0,7757325368.0,,,,,,,,,False,False,
2020-09-25,19107867033.0,745109880.0,3422716321.0,7793780902.0,0.21821379876072444,0.6888564230252279,2.256019883019175,3422716321.0,7793780902.0,,,,,,,,,False,False,
2020-09-26,19131769134.0,644206884.0,3420284305.0,7775202820.0,0.21769325701711506,0.6846438091428204,2.2320559347033497,3420284305.0,7775202820.0,,,,,,,,,False,False,
2020-09-27,19218205520.0,435212595.0,3330054846.0,7855627216.0,0.20959360937138105,0.6913595669773789,2.2237465195221713,3330054846.0,7855627216.0,,,,,,,,,False,False,
2020-09-28,19266207943.0,401797840.0,3267778042.0,7925570418.0,0.2042561715256661,0.6988646273658234,2.2064586799717794,3267778042.0,7925570418.0,,,,,,,,,False,False,
