date,btc_price,btc_market_cap,btc_volume,btc_return_7d,btc_return_30d,btc_return_90d,btc_return_180d,btc_forward_return_30d,btc_forward_return_90d,btc_forward_return_180d,stablecoin_to_btc_mcap,btc_to_stablecoin_ratio,stablecoin_supply_growth_30d,stablecoin_supply_growth_90d,net_liquidity_growth_30d,net_liquidity_growth_90d,liquidity_transmission_gap_30d,liquidity_transmission_gap_90d,stablecoin_btc_growth_gap_30d,stablecoin_btc_growth_gap_90d,net_liquidity_btc_growth_gap_30d,net_liquidity_btc_growth_gap_90d,stablecoin_to_btc_mcap_zscore_252d,btc_to_stablecoin_ratio_zscore_252d,liquidity_transmission_gap_30d_zscore_252d,liquidity_transmission_gap_90d_zscore_252d,transmission_phase
2026-01-04,90593.85443180417,1809211438368.9963,23480735292.761147,0.031738370734957444,-0.016787909096401488,-0.2664832592400308,-0.16349718502451782,-0.13054082258137323,-0.26110119017462785,,0.16983426642327681,5.88809326327413,-0.001340359423019799,0.0178279637326606,0.03348885182088335,0.018028615596893394,0.034829211243903146,0.00020065186423279258,0.015447549673381689,0.2843112229726914,0.050276760917284835,0.2845118748369242,1.6252666640040716,-1.5709402815231877,2.05804785008347,1.9936733082932243,crypto_liquidity_accumulating
2026-01-05,91373.21588108438,1824986876689.233,31050236622.948975,0.040425757463666834,0.0231350534454553,-0.26768737068683357,-0.16135347384769827,-0.172197717102213,-0.2634138034066127,,0.1684490594763594,5.93651281347963,-0.0018088378364814472,0.016168170534584414,0.029838469339329654,0.012903817331540779,0.0316473071758111,-0.003264353203043635,-0.024943891281936748,0.283855541221418,0.006703415893874354,0.28059118801837435,1.5511695966321386,-1.5169532457121535,1.9484754409567109,1.9235667158471248,crypto_liquidity_accumulating
2026-01-06,93926.7956485658,1876558232963.0544,59451605754.8414,0.07767898114698779,0.052462838803726264,-0.2270592722474324,-0.15630217259920998,-0.22096467225104832,-0.26553944536700713,,0.16413753712276305,6.092451595956822,0.0005021772320674689,0.01595999664999259,0.03566979469158538,0.012875699512909566,0.03516761745951791,-0.0030842971370830252,-0.051960661571658795,0.24301926889742498,-0.016793044112140887,0.23993497176034195,1.3477441531029875,-1.3691175210468933,2.0174081275874522,1.9085643743520688,crypto_liquidity_accumulating
2026-01-07,93666.86387314305,1870043996457.1855,57439451725.50999,0.05940459625187011,0.038862508366420245,-0.24065697759534976,-0.19168841440459772,-0.32896557239724344,-0.2647961970752113,,0.16454846679220633,6.077236813532948,-0.0005145247133344633,0.014681282563989262,0.02325735640179527,-0.0008370901936619601,0.023771881115129734,-0.015518372757651222,-0.03937703307975471,0.255338260159339,-0.015605151964624975,0.2398198874016878,1.3583135414983651,-1.3744600541498957,1.6959654974378295,1.7070067363471446,neutral
2026-01-08,91257.15544035907,1822220317807.3809,47910812257.04945,0.0426984374588566,0.007052699711255217,-0.2501344932238302,-0.22381253916548938,-0.22719534890117088,-0.21128791092443977,,0.16870030867008196,5.927671430380402,-0.002908366775550175,0.014584136698217787,0.017829902178371437,0.0007891594252240619,0.020738268953921613,-0.013794977272993725,-0.009961066486805392,0.264718629922048,0.01077720246711622,0.25092365264905425,1.5352316495303626,-1.4978075787052079,1.599732053438833,1.7198325021950038,crypto_liquidity_accumulating
2026-01-09,90983.51578142625,1817249307661.4592,48319133568.469185,0.025424377061274983,-0.018762269656770414,-0.19627105320180316,-0.2251377651678621,-0.2383586611444405,-0.21835206604935053,,0.16903243191067122,5.916024449843278,-0.004366099414165436,0.011581509719038152,0.011657118676998923,0.0005125824400546986,0.01602321809116436,-0.011068927278983454,0.014396170242604978,0.2078525629208413,0.030419388333769337,0.19678363564185786,1.5394802162738503,-1.4981351200581638,1.4617654825514652,1.7472615290520532,crypto_liquidity_accumulating
2026-01-10,90504.89560340019,1807784901284.322,43664879516.319695,0.00643434109244545,-0.016306062820546363,-0.18356020698753672,-0.24020523809734406,-0.2205684253395399,-0.20699597108473844,,0.1700735368641318,5.879809513215917,-0.0032227564099277517,0.013787961623665801,0.008956847445977134,0.0005125824400546986,0.012179603855904886,-0.013275379183611102,0.013083306410618611,0.19734816861120252,0.025262910266523497,0.18407278942759142,1.5749763411777924,-1.5199261071301993,1.3488482463064764,1.7027609294505917,crypto_liquidity_accumulating
2026-01-11,90442.01907847001,1806483854865.5005,13961660357.407768,-0.0016760005884113305,-0.02218688685438941,-0.21484195201688838,-0.24527041767977464,-0.22495751823156362,-0.19315480814003871,,0.17026731035628373,5.873117969077585,-0.005832234802167546,0.014010481521251839,0.008563870518621508,0.0005125824400546986,0.014396105320789054,-0.01349789908119714,0.016354652052221863,0.22885243353814022,0.030750757373010917,0.21535453445694308,1.5724646634697346,-1.51561369991924,1.3946535675362817,1.6857355930998408,crypto_liquidity_accumulating
2026-01-12,90819.36598904192,1814078415941.0112,19870776213.774654,-0.0060614030785920425,0.005670703570719526,-0.21178991070365027,-0.2282396408277262,-0.2426735304341353,-0.19561332223291739,,0.16951243836639052,5.899272110277611,-0.006326189317912845,0.010565443336157276,0.00467768882701014,0.004689403792212721,0.011003878144922985,-0.005876039543944556,-0.011996892888632371,0.22235535403980755,-0.0009930147437093861,0.216479314495863,1.528353034919404,-1.4828563994835355,1.2948258324472175,1.7812174608320521,crypto_liquidity_accumulating
2026-01-13,91134.96917951507,1820530763450.6675,46923085427.627655,-0.029723429291642844,0.00972263333714185,-0.19461176994030038,-0.23253575399283755,-0.26551155923772973,-0.22360481720660352,,0.16854947176250504,5.932976173363818,-0.00834309902007413,0.00444675897633906,0.007576575008701569,0.00880237699202202,0.0159196740287757,0.0043556180156829605,-0.01806573235721598,0.19905852891663944,-0.002146058328440281,0.2034141469323224,1.4759415997902678,-1.4441352946456547,1.4107389720019323,1.9122720662731294,crypto_liquidity_accumulating
2026-01-14,95260.4422971001,1902289955573.257,66844465446.74208,0.017013256962625567,0.07967365440948337,-0.13953945401279555,-0.20247686350881944,-0.30522495950326667,-0.21777992764139875,,0.16194095513381723,6.175090168967242,-0.0041180601648130866,0.005519888325665079,0.03159979145432157,0.01961470783217445,0.035717851619134655,0.01409481950650937,-0.08379171457429646,0.14505934233846063,-0.048073862955161806,0.15915416184497,1.1766824612464106,-1.2252458960845867,1.905620811100186,2.0329271657921715,crypto_liquidity_accumulating
